a01	a12	a23	a34	a45	syl
a	-	-	-	-	false
a	-	-	-	-	true
a	a	-	-	-	true
a	a	a	-	-	false
a	a	b	u	n	false
a	a	c	e	t	false
a	a	c	u	l	false
a	a	c	u	s	false
a	a	c	u	z	false
a	a	g	l	o	false
a	a	l	b	a	false
a	a	l	b	e	false
a	a	l	b	i	false
a	a	l	b	i	true
a	a	l	d	e	false
a	a	l	e	n	false
a	a	l	e	n	true
a	a	l	i	m	false
a	a	l	i	z	false
a	a	m	i	n	false
a	a	m	i	r	false
a	a	n	c	h	false
a	a	p	e	i	false
a	a	p	e	l	false
a	a	p	r	e	false
a	a	r	-	-	false
a	a	r	b	i	false
a	a	r	g	u	false
a	a	r	t	a	false
a	a	r	t	e	false
a	a	r	t	i	false
a	a	r	t	ă	false
a	a	r	u	l	false
a	a	t	a	c	false
a	a	t	o	m	false
a	a	z	a	r	false
a	b	-	-	-	false
a	b	a	-	-	false
a	b	a	-	-	true
a	b	a	b	-	false
a	b	a	b	a	false
a	b	a	b	e	false
a	b	a	b	i	false
a	b	a	b	u	false
a	b	a	c	-	false
a	b	a	c	-	true
a	b	a	c	a	false
a	b	a	c	a	true
a	b	a	c	e	false
a	b	a	c	e	true
a	b	a	c	h	false
a	b	a	c	i	false
a	b	a	c	l	false
a	b	a	c	o	false
a	b	a	c	t	true
a	b	a	c	u	false
a	b	a	c	u	true
a	b	a	c	ă	false
a	b	a	c	ă	true
a	b	a	d	e	false
a	b	a	g	e	true
a	b	a	g	i	false
a	b	a	g	i	true
a	b	a	g	â	false
a	b	a	i	-	false
a	b	a	i	a	false
a	b	a	i	c	false
a	b	a	i	e	false
a	b	a	i	n	false
a	b	a	j	u	true
a	b	a	l	-	false
a	b	a	l	a	false
a	b	a	l	e	false
a	b	a	l	e	true
a	b	a	l	i	false
a	b	a	l	i	true
a	b	a	l	u	false
a	b	a	l	â	false
a	b	a	l	ă	false
a	b	a	m	-	false
a	b	a	m	â	false
a	b	a	n	-	false
a	b	a	n	a	false
a	b	a	n	c	false
a	b	a	n	d	false
a	b	a	n	d	true
a	b	a	n	e	false
a	b	a	n	i	false
a	b	a	n	o	false
a	b	a	n	o	true
a	b	a	n	t	false
a	b	a	n	u	false
a	b	a	n	ă	false
a	b	a	n	ț	false
a	b	a	o	a	false
a	b	a	p	t	false
a	b	a	r	-	false
a	b	a	r	a	false
a	b	a	r	b	false
a	b	a	r	d	false
a	b	a	r	e	false
a	b	a	r	i	false
a	b	a	r	o	false
a	b	a	r	u	false
a	b	a	r	ă	false
a	b	a	s	-	false
a	b	a	s	e	false
a	b	a	s	i	false
a	b	a	s	t	false
a	b	a	s	u	false
a	b	a	t	-	false
a	b	a	t	-	true
a	b	a	t	a	false
a	b	a	t	a	true
a	b	a	t	e	false
a	b	a	t	e	true
a	b	a	t	i	false
a	b	a	t	i	true
a	b	a	t	o	false
a	b	a	t	o	true
a	b	a	t	u	false
a	b	a	t	â	false
a	b	a	t	ă	false
a	b	a	t	ă	true
a	b	a	u	-	false
a	b	a	u	a	false
a	b	a	u	a	true
a	b	a	u	r	false
a	b	a	x	i	true
a	b	a	z	-	false
a	b	a	z	-	true
a	b	a	z	a	false
a	b	a	z	e	false
a	b	a	z	e	true
a	b	a	z	i	false
a	b	a	z	i	true
a	b	a	z	l	false
a	b	a	z	u	false
a	b	a	z	u	true
a	b	a	z	ă	false
a	b	a	ș	a	false
a	b	a	ș	i	false
a	b	a	ț	i	false
a	b	a	ț	i	true
a	b	b	i	t	false
a	b	c	-	-	true
a	b	c	e	a	true
a	b	c	e	d	true
a	b	c	e	s	true
a	b	c	e	z	true
a	b	d	-	-	false
a	b	d	e	-	false
a	b	d	e	r	true
a	b	d	i	c	true
a	b	d	o	c	false
a	b	d	o	l	false
a	b	d	o	m	false
a	b	d	o	m	true
a	b	d	u	-	true
a	b	d	u	c	true
a	b	d	u	s	true
a	b	d	u	ș	true
a	b	d	ă	-	false
a	b	e	-	-	false
a	b	e	a	n	false
a	b	e	a	z	false
a	b	e	c	e	true
a	b	e	d	e	false
a	b	e	i	-	false
a	b	e	i	d	false
a	b	e	i	i	false
a	b	e	i	l	false
a	b	e	l	-	false
a	b	e	l	a	false
a	b	e	l	e	false
a	b	e	l	i	false
a	b	e	l	o	false
a	b	e	l	u	false
a	b	e	l	â	false
a	b	e	l	ă	false
a	b	e	n	-	false
a	b	e	n	c	false
a	b	e	n	e	false
a	b	e	n	i	false
a	b	e	n	u	false
a	b	e	r	a	true
a	b	e	r	c	false
a	b	e	r	e	false
a	b	e	r	i	false
a	b	e	r	n	false
a	b	e	r	o	true
a	b	e	s	-	false
a	b	e	s	c	false
a	b	e	s	t	false
a	b	e	s	u	false
a	b	e	t	-	false
a	b	e	t	-	true
a	b	e	t	a	false
a	b	e	t	e	false
a	b	e	t	i	false
a	b	e	t	i	true
a	b	e	t	o	false
a	b	e	t	o	true
a	b	e	t	u	false
