a01	a12	a23	a34	syl
a	-	-	-	false
a	-	-	-	true
a	a	-	-	true
a	a	a	-	false
a	a	b	u	false
a	a	c	e	false
a	a	c	u	false
a	a	g	l	false
a	a	l	b	false
a	a	l	b	true
a	a	l	d	false
a	a	l	e	false
a	a	l	e	true
a	a	l	i	false
a	a	m	i	false
a	a	n	c	false
a	a	p	e	false
a	a	p	r	false
a	a	r	-	false
a	a	r	b	false
a	a	r	g	false
a	a	r	t	false
a	a	r	u	false
a	a	t	a	false
a	a	t	o	false
a	a	z	a	false
a	b	-	-	false
a	b	a	-	false
a	b	a	-	true
a	b	a	b	false
a	b	a	c	false
a	b	a	c	true
a	b	a	d	false
a	b	a	g	false
a	b	a	g	true
a	b	a	i	false
a	b	a	j	true
a	b	a	l	false
a	b	a	l	true
a	b	a	m	false
a	b	a	n	false
a	b	a	n	true
a	b	a	o	false
a	b	a	p	false
a	b	a	r	false
a	b	a	s	false
a	b	a	t	false
a	b	a	t	true
a	b	a	u	false
a	b	a	u	true
a	b	a	x	true
a	b	a	z	false
a	b	a	z	true
a	b	a	ș	false
a	b	a	ț	false
a	b	a	ț	true
a	b	b	i	false
a	b	c	-	true
a	b	c	e	true
a	b	d	-	false
a	b	d	e	false
a	b	d	e	true
a	b	d	i	true
a	b	d	o	false
a	b	d	o	true
a	b	d	u	true
a	b	d	ă	false
a	b	e	-	false
a	b	e	a	false
a	b	e	c	true
a	b	e	d	false
a	b	e	i	false
a	b	e	l	false
a	b	e	n	false
a	b	e	r	false
a	b	e	r	true
a	b	e	s	false
a	b	e	t	false
a	b	e	t	true
a	b	e	u	false
a	b	e	z	false
a	b	e	ș	false
a	b	e	ț	false
a	b	f	e	false
a	b	h	o	true
a	b	i	-	false
a	b	i	a	false
a	b	i	a	true
a	b	i	c	false
a	b	i	d	false
a	b	i	e	false
a	b	i	e	true
a	b	i	i	false
a	b	i	l	false
a	b	i	l	true
a	b	i	n	false
a	b	i	o	false
a	b	i	o	true
a	b	i	r	false
a	b	i	s	false
a	b	i	s	true
a	b	i	t	false
a	b	i	t	true
a	b	i	u	false
a	b	i	v	false
a	b	i	z	false
a	b	i	ș	false
a	b	i	ț	false
a	b	j	e	true
a	b	j	u	true
a	b	l	a	false
a	b	l	a	true
a	b	l	e	false
a	b	l	e	true
a	b	l	i	false
a	b	l	o	false
a	b	l	u	false
a	b	l	u	true
a	b	l	â	false
a	b	l	ă	false
a	b	n	e	true
a	b	n	i	false
a	b	n	o	true
a	b	o	-	false
a	b	o	a	false
a	b	o	c	false
a	b	o	f	false
a	b	o	g	false
a	b	o	i	false
a	b	o	l	false
a	b	o	l	true
a	b	o	m	false
a	b	o	m	true
a	b	o	n	false
a	b	o	n	true
a	b	o	r	false
a	b	o	r	true
a	b	o	s	false
a	b	o	t	false
a	b	o	u	false
a	b	o	ș	false
a	b	o	ț	false
a	b	r	a	false
a	b	r	a	true
a	b	r	e	false
a	b	r	e	true
a	b	r	i	false
a	b	r	o	false
a	b	r	o	true
a	b	r	u	false
a	b	r	u	true
a	b	r	â	false
a	b	r	ă	false
a	b	s	-	false
a	b	s	c	true
a	b	s	e	true
a	b	s	i	true
a	b	s	o	false
a	b	s	o	true
a	b	s	t	true
a	b	s	u	false
a	b	s	u	true
a	b	u	-	false
a	b	u	c	false
a	b	u	g	false
a	b	u	i	false
a	b	u	l	false
a	b	u	l	true
a	b	u	n	false
a	b	u	n	true
a	b	u	r	false
a	b	u	r	true
a	b	u	s	false
a	b	u	u	false
a	b	u	v	false
a	b	u	z	false
a	b	u	z	true
a	b	u	ș	false
a	b	z	i	false
a	b	z	i	true
a	b	â	n	false
a	b	ă	-	false
a	b	ă	d	false
a	b	ă	m	false
a	b	ă	n	false
a	b	ă	r	false
a	b	ă	t	true
a	b	ă	ț	false
a	b	ț	i	true
a	c	-	-	false
a	c	-	-	true
a	c	a	-	false
a	c	a	-	true
a	c	a	b	false
a	c	a	c	false
a	c	a	c	true
a	c	a	d	false
a	c	a	d	true
a	c	a	f	false
a	c	a	g	false
a	c	a	i	false
a	c	a	i	true
a	c	a	j	false
a	c	a	j	true
a	c	a	l	false
a	c	a	l	true
a	c	a	m	false
a	c	a	m	true
a	c	a	n	false
a	c	a	n	true
a	c	a	o	false
a	c	a	p	false
a	c	a	p	true
a	c	a	r	false
a	c	a	r	true
a	c	a	s	false
a	c	a	s	true
a	c	a	t	false
a	c	a	t	true
a	c	a	u	false
a	c	a	u	true
a	c	a	z	false
a	c	a	z	true
a	c	a	ș	false
a	c	a	ș	true
a	c	a	ț	false
a	c	a	ț	true
a	c	c	a	false
a	c	c	e	false
a	c	c	e	true
a	c	c	i	false
a	c	c	i	true
a	c	c	o	false
a	c	d	e	false
a	c	d	e	true
a	c	e	-	false
a	c	e	-	true
a	c	e	a	false
a	c	e	a	true
a	c	e	d	false
a	c	e	d	true
a	c	e	e	false
a	c	e	e	true
a	c	e	f	false
a	c	e	f	true
