b10	a01	a12	a23	a34	syl
-	a	a	l	e	true
-	a	b	a	-	true
-	a	b	a	c	true
-	a	b	a	g	true
-	a	b	a	j	true
-	a	b	a	l	true
-	a	b	a	n	true
-	a	b	a	t	true
-	a	b	a	u	true
-	a	b	a	x	true
-	a	b	a	z	true
-	a	b	a	ț	true
-	a	b	c	-	true
-	a	b	c	e	true
-	a	b	d	e	true
-	a	b	d	i	true
-	a	b	d	o	true
-	a	b	d	u	true
-	a	b	e	c	true
-	a	b	e	r	true
-	a	b	h	o	true
-	a	b	i	a	true
-	a	b	i	e	true
-	a	b	i	l	true
-	a	b	i	o	true
-	a	b	i	s	true
-	a	b	i	t	true
-	a	b	j	e	true
-	a	b	j	u	true
-	a	b	l	a	true
-	a	b	l	e	true
-	a	b	l	u	true
-	a	b	n	e	true
-	a	b	n	o	true
-	a	b	o	l	true
-	a	b	o	m	true
-	a	b	o	n	true
-	a	b	o	r	true
-	a	b	r	a	true
-	a	b	r	e	true
-	a	b	r	o	true
-	a	b	r	u	true
-	a	b	s	c	true
-	a	b	s	e	true
-	a	b	s	i	true
-	a	b	s	o	true
-	a	b	s	t	true
-	a	b	s	u	true
-	a	b	u	l	true
-	a	b	u	n	true
-	a	b	u	r	true
-	a	b	u	z	true
-	a	b	z	i	true
-	a	b	ă	t	true
-	a	b	ț	i	true
-	a	c	-	-	true
-	a	c	a	c	true
-	a	c	a	d	true
-	a	c	a	j	true
-	a	c	a	l	true
-	a	c	a	n	true
-	a	c	a	p	true
-	a	c	a	r	true
-	a	c	a	s	true
-	a	c	a	t	true
-	a	c	a	u	true
-	a	c	a	z	true
-	a	c	a	ț	true
-	a	c	c	e	true
-	a	c	c	i	true
-	a	c	d	e	true
-	a	c	e	-	true
-	a	c	e	a	true
-	a	c	e	d	true
-	a	c	e	e	true
-	a	c	e	f	true
-	a	c	e	i	true
-	a	c	e	l	true
-	a	c	e	r	true
-	a	c	e	s	true
-	a	c	e	t	true
-	a	c	e	ș	true
-	a	c	h	e	true
-	a	c	h	i	true
-	a	c	i	-	true
-	a	c	i	a	true
-	a	c	i	c	true
-	a	c	i	d	true
-	a	c	i	l	true
-	a	c	i	n	true
-	a	c	i	o	true
-	a	c	i	p	true
-	a	c	i	r	true
-	a	c	i	u	true
-	a	c	i	z	true
-	a	c	l	a	true
-	a	c	l	i	true
-	a	c	l	u	true
-	a	c	m	e	true
-	a	c	m	o	true
-	a	c	n	e	true
-	a	c	o	a	true
-	a	c	o	i	true
-	a	c	o	l	true
-	a	c	o	m	true
-	a	c	o	n	true
-	a	c	o	p	true
-	a	c	o	r	true
-	a	c	o	s	true
-	a	c	o	t	true
-	a	c	r	a	true
-	a	c	r	e	true
-	a	c	r	i	true
-	a	c	r	o	true
-	a	c	r	u	true
-	a	c	r	ă	true
-	a	c	t	-	true
-	a	c	t	a	true
-	a	c	t	e	true
-	a	c	t	i	true
-	a	c	t	o	true
-	a	c	t	r	true
-	a	c	t	u	true
-	a	c	u	a	true
-	a	c	u	i	true
-	a	c	u	l	true
-	a	c	u	m	true
-	a	c	u	p	true
-	a	c	u	r	true
-	a	c	u	s	true
-	a	c	u	t	true
-	a	c	u	z	true
-	a	c	u	ș	true
-	a	c	u	ț	true
-	a	c	v	a	true
-	a	c	v	i	true
-	a	c	ă	r	true
-	a	c	ă	t	true
-	a	c	ț	i	true
-	a	d	a	c	true
-	a	d	a	g	true
-	a	d	a	m	true
-	a	d	a	o	true
-	a	d	a	p	true
-	a	d	a	s	true
-	a	d	a	u	true
-	a	d	a	x	true
-	a	d	d	e	true
-	a	d	e	c	true
-	a	d	e	m	true
-	a	d	e	n	true
-	a	d	e	p	true
-	a	d	e	r	true
-	a	d	e	s	true
-	a	d	e	u	true
-	a	d	e	v	true
-	a	d	e	z	true
-	a	d	h	o	true
-	a	d	i	a	true
-	a	d	i	c	true
-	a	d	i	d	true
-	a	d	i	e	true
-	a	d	i	i	true
-	a	d	i	m	true
-	a	d	i	n	true
-	a	d	i	o	true
-	a	d	i	p	true
-	a	d	i	t	true
-	a	d	i	ț	true
-	a	d	j	e	true
-	a	d	j	o	true
-	a	d	j	u	true
