b10	a01	a12	a23	syl
-	a	a	l	true
-	a	b	a	true
-	a	b	c	true
-	a	b	d	true
-	a	b	e	true
-	a	b	h	true
-	a	b	i	true
-	a	b	j	true
-	a	b	l	true
-	a	b	n	true
-	a	b	o	true
-	a	b	r	true
-	a	b	s	true
-	a	b	u	true
-	a	b	z	true
-	a	b	ă	true
-	a	b	ț	true
-	a	c	-	true
-	a	c	a	true
-	a	c	c	true
-	a	c	d	true
-	a	c	e	true
-	a	c	h	true
-	a	c	i	true
-	a	c	l	true
-	a	c	m	true
-	a	c	n	true
-	a	c	o	true
-	a	c	r	true
-	a	c	t	true
-	a	c	u	true
-	a	c	v	true
-	a	c	ă	true
-	a	c	ț	true
-	a	d	a	true
-	a	d	d	true
-	a	d	e	true
-	a	d	h	true
-	a	d	i	true
-	a	d	j	true
-	a	d	m	true
-	a	d	n	true
-	a	d	o	true
-	a	d	p	true
-	a	d	r	true
-	a	d	s	true
-	a	d	u	true
-	a	d	v	true
-	a	d	â	true
-	a	d	ă	true
-	a	e	d	true
-	a	e	r	true
-	a	e	z	true
-	a	f	a	true
-	a	f	e	true
-	a	f	g	true
-	a	f	i	true
-	a	f	l	true
-	a	f	o	true
-	a	f	r	true
-	a	f	t	true
-	a	f	u	true
-	a	f	â	true
-	a	g	a	true
-	a	g	e	true
-	a	g	f	true
-	a	g	h	true
-	a	g	i	true
-	a	g	l	true
-	a	g	m	true
-	a	g	n	true
-	a	g	o	true
-	a	g	r	true
-	a	g	u	true
-	a	g	ă	true
-	a	h	-	true
-	a	h	a	true
-	a	h	e	true
-	a	h	o	true
-	a	h	t	true
-	a	h	u	true
-	a	i	-	true
-	a	i	a	true
-	a	i	b	true
-	a	i	c	true
-	a	i	d	true
-	a	i	e	true
-	a	i	i	true
-	a	i	k	true
-	a	i	l	true
-	a	i	s	true
-	a	i	u	true
-	a	i	ș	true
-	a	j	u	true
-	a	k	k	true
-	a	k	â	true
-	a	l	-	true
-	a	l	a	true
-	a	l	b	true
-	a	l	c	true
-	a	l	d	true
-	a	l	e	true
-	a	l	f	true
-	a	l	g	true
-	a	l	i	true
-	a	l	l	true
-	a	l	m	true
-	a	l	o	true
-	a	l	p	true
-	a	l	s	true
-	a	l	t	true
-	a	l	u	true
-	a	l	v	true
-	a	l	ă	true
-	a	l	ț	true
-	a	m	-	true
-	a	m	a	true
-	a	m	b	true
-	a	m	e	true
-	a	m	f	true
