b20	a03	syl
--	aal	true
--	aba	true
--	abc	true
--	abd	true
--	abe	true
--	abh	true
--	abi	true
--	abj	true
--	abl	true
--	abn	true
--	abo	true
--	abr	true
--	abs	true
--	abu	true
--	abz	true
--	abă	true
--	abț	true
--	ac-	true
--	aca	true
--	acc	true
--	acd	true
--	ace	true
--	ach	true
--	aci	true
--	acl	true
--	acm	true
--	acn	true
--	aco	true
--	acr	true
--	act	true
--	acu	true
--	acv	true
--	acă	true
--	acț	true
--	ada	true
--	add	true
--	ade	true
--	adh	true
--	adi	true
--	adj	true
--	adm	true
--	adn	true
--	ado	true
--	adp	true
--	adr	true
--	ads	true
--	adu	true
--	adv	true
--	adâ	true
--	adă	true
--	aed	true
--	aer	true
--	aez	true
--	afa	true
--	afe	true
--	afg	true
--	afi	true
--	afl	true
--	afo	true
--	afr	true
--	aft	true
--	afu	true
--	afâ	true
--	aga	true
--	age	true
--	agf	true
--	agh	true
--	agi	true
--	agl	true
--	agm	true
--	agn	true
--	ago	true
--	agr	true
--	agu	true
--	agă	true
--	ah-	true
--	aha	true
--	ahe	true
--	aho	true
--	aht	true
--	ahu	true
--	ai-	true
--	aia	true
--	aib	true
--	aic	true
--	aid	true
--	aie	true
--	aii	true
--	aik	true
--	ail	true
--	ais	true
--	aiu	true
--	aiș	true
--	aju	true
--	akk	true
--	akâ	true
--	al-	true
--	ala	true
--	alb	true
--	alc	true
--	ald	true
--	ale	true
--	alf	true
--	alg	true
--	ali	true
--	all	true
--	alm	true
--	alo	true
--	alp	true
--	als	true
--	alt	true
--	alu	true
--	alv	true
--	ală	true
--	alț	true
--	am-	true
--	ama	true
--	amb	true
--	ame	true
--	amf	true
--	amh	true
--	ami	true
--	aml	true
--	amn	true
--	amo	true
--	amp	true
--	amu	true
--	amv	true
--	amâ	true
--	amă	true
--	an-	true
--	ana	true
--	anc	true
--	and	true
--	ane	true
--	anf	true
--	ang	true
--	anh	true
--	ani	true
--	anl	true
--	ano	true
--	anr	true
--	ans	true
--	ant	true
--	anu	true
--	anv	true
--	anx	true
--	anș	true
--	anț	true
--	aol	true
--	aor	true
--	apa	true
--	ape	true
--	api	true
--	apl	true
--	apn	true
--	apo	true
--	app	true
--	apr	true
--	aps	true
--	apt	true
--	apu	true
--	apă	true
--	apș	true
--	apț	true
--	ar-	true
--	ara	true
--	arb	true
--	arc	true
--	ard	true
--	are	true
--	arg	true
--	arh	true
