b21	b10	a01	a12	syl
-	-	a	a	true
-	-	a	b	true
-	-	a	c	true
-	-	a	d	true
-	-	a	e	true
-	-	a	f	true
-	-	a	g	true
-	-	a	h	true
-	-	a	i	true
-	-	a	j	true
-	-	a	k	true
-	-	a	l	true
-	-	a	m	true
-	-	a	n	true
-	-	a	o	true
-	-	a	p	true
-	-	a	r	true
-	-	a	s	true
-	-	a	t	true
-	-	a	u	true
-	-	a	v	true
-	-	a	x	true
-	-	a	y	true
-	-	a	z	true
-	-	a	ș	true
-	-	a	ț	true
-	-	b	a	true
-	-	b	e	true
-	-	b	i	true
-	-	b	l	true
-	-	b	o	true
-	-	b	r	true
-	-	b	u	true
-	-	b	y	true
-	-	b	â	true
-	-	b	ă	true
-	-	c	-	true
-	-	c	a	true
-	-	c	e	true
-	-	c	h	true
-	-	c	i	true
-	-	c	l	true
-	-	c	n	true
-	-	c	o	true
-	-	c	r	true
-	-	c	t	true
-	-	c	u	true
-	-	c	v	true
-	-	c	â	true
-	-	c	ă	true
-	-	d	a	true
-	-	d	e	true
-	-	d	i	true
-	-	d	o	true
-	-	d	r	true
-	-	d	u	true
-	-	d	v	true
-	-	d	â	true
-	-	d	ă	true
-	-	e	-	true
-	-	e	a	true
-	-	e	b	true
-	-	e	c	true
-	-	e	d	true
-	-	e	e	true
-	-	e	f	true
-	-	e	g	true
-	-	e	h	true
-	-	e	i	true
-	-	e	j	true
-	-	e	l	true
-	-	e	m	true
-	-	e	n	true
-	-	e	o	true
-	-	e	p	true
-	-	e	r	true
-	-	e	s	true
-	-	e	t	true
-	-	e	u	true
-	-	e	v	true
-	-	e	x	true
-	-	e	z	true
-	-	e	ș	true
-	-	f	a	true
-	-	f	e	true
-	-	f	i	true
-	-	f	l	true
-	-	f	o	true
-	-	f	r	true
-	-	f	t	true
-	-	f	u	true
-	-	f	â	true
-	-	f	ă	true
-	-	g	a	true
-	-	g	e	true
-	-	g	h	true
-	-	g	i	true
-	-	g	l	true
-	-	g	n	true
-	-	g	o	true
-	-	g	r	true
-	-	g	u	true
-	-	g	â	true
-	-	g	ă	true
-	-	h	a	true
-	-	h	e	true
-	-	h	i	true
-	-	h	l	true
-	-	h	m	true
-	-	h	o	true
-	-	h	r	true
-	-	h	t	true
-	-	h	u	true
-	-	h	â	true
-	-	h	ă	true
-	-	i	-	true
-	-	i	a	true
-	-	i	b	true
-	-	i	c	true
-	-	i	d	true
-	-	i	e	true
-	-	i	f	true
-	-	i	g	true
-	-	i	h	true
-	-	i	i	true
-	-	i	j	true
-	-	i	k	true
-	-	i	l	true
-	-	i	m	true
-	-	i	n	true
-	-	i	o	true
-	-	i	p	true
-	-	i	r	true
-	-	i	s	true
-	-	i	t	true
-	-	i	u	true
-	-	i	v	true
-	-	i	z	true
-	-	i	ș	true
-	-	i	ț	true
-	-	j	a	true
-	-	j	d	true
-	-	j	e	true
-	-	j	g	true
-	-	j	i	true
-	-	j	n	true
-	-	j	o	true
-	-	j	u	true
-	-	j	ă	true
-	-	k	a	true
-	-	k	e	true
-	-	k	h	true
-	-	k	i	true
-	-	k	l	true
-	-	k	o	true
-	-	k	r	true
-	-	k	u	true
-	-	l	-	true
-	-	l	a	true
-	-	l	e	true
-	-	l	i	true
-	-	l	o	true
-	-	l	u	true
-	-	l	â	true
-	-	l	ă	true
-	-	m	a	true
-	-	m	d	true
-	-	m	e	true
-	-	m	i	true
-	-	m	l	true
-	-	m	n	true
-	-	m	o	true
-	-	m	r	true
-	-	m	u	true
-	-	m	â	true
-	-	m	ă	true
-	-	n	a	true
-	-	n	e	true
-	-	n	i	true
-	-	n	o	true
-	-	n	u	true
-	-	n	ă	true
-	-	o	-	true
-	-	o	a	true
-	-	o	b	true
-	-	o	c	true
-	-	o	d	true
-	-	o	f	true
-	-	o	g	true
-	-	o	h	true
-	-	o	i	true
-	-	o	j	true
-	-	o	l	true
-	-	o	m	true
-	-	o	n	true
-	-	o	o	true
-	-	o	p	true
-	-	o	r	true
-	-	o	s	true
-	-	o	t	true
-	-	o	u	true
-	-	o	v	true
-	-	o	x	true
-	-	o	z	true
-	-	o	ș	true
-	-	o	ț	true
-	-	p	a	true
-	-	p	e	true
-	-	p	f	true
-	-	p	h	true
-	-	p	i	true
-	-	p	l	true
-	-	p	n	true
-	-	p	o	true
-	-	p	r	true
-	-	p	s	true
-	-	p	t	true
-	-	p	u	true
-	-	p	â	true
-	-	p	ă	true
-	-	q	u	true
-	-	r	a	true
-	-	r	e	true
-	-	r	h	true
-	-	r	i	true
-	-	r	o	true
-	-	r	u	true
-	-	r	â	true
-	-	r	ă	true
-	-	s	-	true
-	-	s	a	true
-	-	s	b	true
-	-	s	c	true
-	-	s	e	true
-	-	s	f	true
-	-	s	g	true
-	-	s	h	true
-	-	s	i	true
-	-	s	k	true
-	-	s	l	true
-	-	s	m	true
-	-	s	n	true
-	-	s	o	true
-	-	s	p	true
-	-	s	s	true
-	-	s	t	true
-	-	s	u	true
-	-	s	v	true
-	-	s	w	true
-	-	s	â	true
-	-	s	ă	true
-	-	t	a	true
-	-	t	b	true
-	-	t	e	true
-	-	t	h	true
-	-	t	i	true
-	-	t	m	true
-	-	t	o	true
-	-	t	r	true
-	-	t	u	true
-	-	t	v	true
-	-	t	â	true
-	-	t	ă	true
-	-	t	ț	true
-	-	u	-	true
-	-	u	b	true
-	-	u	c	true
-	-	u	d	true
-	-	u	f	true
-	-	u	g	true
-	-	u	h	true
-	-	u	i	true
-	-	u	j	true
-	-	u	l	true
-	-	u	m	true
-	-	u	n	true
-	-	u	p	true
-	-	u	r	true
-	-	u	s	true
-	-	u	t	true
-	-	u	v	true
-	-	u	x	true
-	-	u	z	true
-	-	u	ș	true
-	-	v	-	true
-	-	v	a	true
-	-	v	e	true
-	-	v	i	true
-	-	v	l	true
-	-	v	o	true
-	-	v	r	true
-	-	v	t	true
-	-	v	u	true
-	-	v	â	true
-	-	v	ă	true
-	-	w	a	true
-	-	w	e	true
-	-	w	i	true
-	-	w	o	true
-	-	w	r	true
-	-	w	u	true
-	-	x	a	true
-	-	x	e	true
-	-	x	i	true
-	-	x	o	true
-	-	y	a	true
-	-	y	e	true
-	-	y	i	true
-	-	y	o	true
-	-	y	p	true
-	-	y	t	true
-	-	y	u	true
-	-	z	a	true
-	-	z	b	true
-	-	z	d	true
-	-	z	e	true
-	-	z	g	true
-	-	z	i	true
-	-	z	l	true
-	-	z	m	true
-	-	z	n	true
-	-	z	o	true
-	-	z	u	true
-	-	z	v	true
-	-	z	â	true
-	-	z	ă	true
-	-	î	h	true
-	-	î	i	true
-	-	î	l	true
-	-	î	m	true
-	-	î	n	true
-	-	î	r	true
-	-	î	ș	true
-	-	î	ț	true
-	-	ă	i	true
-	-	ă	l	true
-	-	ă	s	true
-	-	ă	z	true
-	-	ă	ș	true
-	-	ș	-	true
-	-	ș	a	true
-	-	ș	c	true
-	-	ș	e	true
-	-	ș	f	true
-	-	ș	i	true
-	-	ș	l	true
-	-	ș	m	true
-	-	ș	n	true
-	-	ș	o	true
-	-	ș	p	true
-	-	ș	r	true
-	-	ș	t	true
-	-	ș	u	true
-	-	ș	v	true
-	-	ș	â	true
-	-	ș	ă	true
-	-	ș	ș	true
-	-	ț	a	true
-	-	ț	e	true
-	-	ț	i	true
-	-	ț	o	true
-	-	ț	s	true
-	-	ț	u	true
-	-	ț	â	true
-	-	ț	ă	true
-	-	﻿	a	true
-	a	a	l	true
-	a	b	a	true
-	a	b	c	false
-	a	b	d	false
-	a	b	e	true
-	a	b	h	false
-	a	b	i	true
-	a	b	j	false
-	a	b	l	false
-	a	b	l	true
-	a	b	n	false
-	a	b	o	false
-	a	b	o	true
-	a	b	r	false
-	a	b	r	true
-	a	b	s	false
-	a	b	u	true
-	a	b	z	false
-	a	b	ă	true
-	a	b	ț	false
-	a	c	-	false
-	a	c	a	true
-	a	c	c	false
-	a	c	d	false
-	a	c	e	true
-	a	c	h	true
-	a	c	i	true
-	a	c	l	true
-	a	c	m	false
-	a	c	n	false
-	a	c	o	true
-	a	c	r	true
-	a	c	t	false
-	a	c	u	true
-	a	c	v	false
-	a	c	ă	true
-	a	c	ț	false
