b32	b21	b10	a01	syl
-	-	-	a	true
-	-	-	b	true
-	-	-	c	true
-	-	-	d	true
-	-	-	e	true
-	-	-	f	true
-	-	-	g	true
-	-	-	h	true
-	-	-	i	true
-	-	-	j	true
-	-	-	k	true
-	-	-	l	true
-	-	-	m	true
-	-	-	n	true
-	-	-	o	true
-	-	-	p	true
-	-	-	q	true
-	-	-	r	true
-	-	-	s	true
-	-	-	t	true
-	-	-	u	true
-	-	-	v	true
-	-	-	w	true
-	-	-	x	true
-	-	-	y	true
-	-	-	z	true
-	-	-	î	true
-	-	-	ă	true
-	-	-	ș	true
-	-	-	ț	true
-	-	-	﻿	true
-	-	a	a	true
-	-	a	b	false
-	-	a	b	true
-	-	a	c	false
-	-	a	c	true
-	-	a	d	false
-	-	a	d	true
-	-	a	e	true
-	-	a	f	false
-	-	a	f	true
-	-	a	g	false
-	-	a	g	true
-	-	a	h	false
-	-	a	h	true
-	-	a	i	false
-	-	a	i	true
-	-	a	j	true
-	-	a	k	false
-	-	a	k	true
-	-	a	l	false
-	-	a	l	true
-	-	a	m	false
-	-	a	m	true
-	-	a	n	false
-	-	a	n	true
-	-	a	o	true
-	-	a	p	false
-	-	a	p	true
-	-	a	r	false
-	-	a	r	true
-	-	a	s	false
-	-	a	s	true
-	-	a	t	false
-	-	a	t	true
-	-	a	u	false
-	-	a	u	true
-	-	a	v	true
-	-	a	x	false
-	-	a	x	true
-	-	a	y	true
-	-	a	z	false
-	-	a	z	true
-	-	a	ș	false
-	-	a	ș	true
-	-	a	ț	true
-	-	b	a	false
-	-	b	e	false
-	-	b	i	false
-	-	b	l	false
-	-	b	o	false
-	-	b	r	false
-	-	b	u	false
-	-	b	y	false
-	-	b	â	false
-	-	b	ă	false
-	-	c	a	false
-	-	c	e	false
-	-	c	h	false
-	-	c	i	false
-	-	c	l	false
-	-	c	n	false
-	-	c	o	false
-	-	c	r	false
-	-	c	t	false
-	-	c	u	false
-	-	c	v	false
-	-	c	â	false
-	-	c	ă	false
-	-	d	a	false
-	-	d	e	false
-	-	d	i	false
-	-	d	o	false
-	-	d	r	false
-	-	d	u	false
-	-	d	v	false
-	-	d	â	false
-	-	d	ă	false
-	-	e	a	false
-	-	e	b	true
-	-	e	c	false
-	-	e	c	true
-	-	e	d	true
-	-	e	e	true
-	-	e	f	true
-	-	e	g	true
-	-	e	h	false
-	-	e	h	true
-	-	e	i	false
-	-	e	i	true
-	-	e	j	true
-	-	e	l	false
-	-	e	l	true
-	-	e	m	false
-	-	e	m	true
-	-	e	n	false
-	-	e	n	true
-	-	e	o	true
-	-	e	p	false
-	-	e	p	true
-	-	e	r	false
-	-	e	r	true
-	-	e	s	false
-	-	e	s	true
-	-	e	t	false
-	-	e	t	true
-	-	e	u	false
-	-	e	u	true
-	-	e	v	false
-	-	e	v	true
-	-	e	x	false
-	-	e	x	true
-	-	e	z	true
-	-	e	ș	false
-	-	e	ș	true
-	-	f	a	false
-	-	f	e	false
-	-	f	i	false
-	-	f	l	false
-	-	f	o	false
-	-	f	r	false
-	-	f	t	false
-	-	f	u	false
-	-	f	â	false
-	-	f	ă	false
-	-	g	a	false
-	-	g	e	false
-	-	g	h	false
-	-	g	i	false
-	-	g	l	false
-	-	g	n	false
-	-	g	o	false
-	-	g	r	false
-	-	g	u	false
-	-	g	â	false
-	-	g	ă	false
-	-	h	a	false
-	-	h	e	false
-	-	h	i	false
-	-	h	l	false
-	-	h	m	false
-	-	h	o	false
-	-	h	r	false
-	-	h	t	false
-	-	h	u	false
-	-	h	â	false
-	-	h	ă	false
-	-	i	a	false
-	-	i	a	true
-	-	i	b	false
-	-	i	b	true
-	-	i	c	false
-	-	i	c	true
-	-	i	d	true
-	-	i	e	false
-	-	i	e	true
-	-	i	f	true
-	-	i	g	false
-	-	i	g	true
-	-	i	h	false
-	-	i	h	true
-	-	i	i	false
-	-	i	i	true
-	-	i	j	false
-	-	i	j	true
-	-	i	k	true
-	-	i	l	false
-	-	i	l	true
-	-	i	m	false
-	-	i	m	true
-	-	i	n	false
-	-	i	n	true
-	-	i	o	false
-	-	i	o	true
-	-	i	p	false
-	-	i	p	true
-	-	i	r	false
