b43	b32	b21	b10	syl
-	-	-	-	true
-	-	-	a	false
-	-	-	a	true
-	-	-	b	false
-	-	-	c	false
-	-	-	d	false
-	-	-	e	false
-	-	-	e	true
-	-	-	f	false
-	-	-	g	false
-	-	-	h	false
-	-	-	i	false
-	-	-	i	true
-	-	-	j	false
-	-	-	k	false
-	-	-	l	false
-	-	-	m	false
-	-	-	n	false
-	-	-	o	false
-	-	-	o	true
-	-	-	p	false
-	-	-	q	false
-	-	-	r	false
-	-	-	s	false
-	-	-	t	false
-	-	-	u	false
-	-	-	u	true
-	-	-	v	false
-	-	-	w	false
-	-	-	x	false
-	-	-	y	false
-	-	-	y	true
-	-	-	z	false
-	-	-	î	false
-	-	-	î	true
-	-	-	ă	false
-	-	-	ă	true
-	-	-	ș	false
-	-	-	ț	false
-	-	-	﻿	false
-	-	a	a	true
-	-	a	b	false
-	-	a	b	true
-	-	a	c	false
-	-	a	c	true
-	-	a	d	false
-	-	a	d	true
-	-	a	e	false
-	-	a	e	true
-	-	a	f	false
-	-	a	f	true
-	-	a	g	false
-	-	a	g	true
-	-	a	h	false
-	-	a	h	true
-	-	a	i	false
-	-	a	i	true
-	-	a	j	false
-	-	a	k	false
-	-	a	k	true
-	-	a	l	false
-	-	a	l	true
-	-	a	m	false
-	-	a	m	true
-	-	a	n	false
-	-	a	n	true
-	-	a	o	false
-	-	a	o	true
-	-	a	p	false
-	-	a	p	true
-	-	a	r	false
-	-	a	r	true
-	-	a	s	false
-	-	a	s	true
-	-	a	t	false
-	-	a	t	true
-	-	a	u	false
-	-	a	u	true
-	-	a	v	false
-	-	a	x	false
-	-	a	y	false
-	-	a	z	false
-	-	a	z	true
-	-	a	ș	false
-	-	a	ș	true
-	-	a	ț	false
-	-	b	a	false
-	-	b	a	true
-	-	b	e	false
-	-	b	e	true
-	-	b	i	false
-	-	b	i	true
-	-	b	l	false
-	-	b	o	false
-	-	b	o	true
-	-	b	r	false
-	-	b	u	false
-	-	b	u	true
-	-	b	y	false
-	-	b	â	false
-	-	b	â	true
-	-	b	ă	false
-	-	b	ă	true
-	-	c	a	false
-	-	c	a	true
-	-	c	e	false
-	-	c	e	true
-	-	c	h	false
-	-	c	i	false
-	-	c	i	true
-	-	c	l	false
-	-	c	n	false
-	-	c	o	false
-	-	c	o	true
-	-	c	r	false
-	-	c	t	false
-	-	c	u	false
-	-	c	u	true
-	-	c	v	false
-	-	c	â	false
-	-	c	â	true
-	-	c	ă	false
-	-	c	ă	true
-	-	d	a	false
-	-	d	a	true
-	-	d	e	false
-	-	d	e	true
-	-	d	i	false
-	-	d	i	true
-	-	d	o	false
-	-	d	o	true
-	-	d	r	false
-	-	d	u	false
-	-	d	u	true
-	-	d	v	false
-	-	d	â	false
-	-	d	â	true
-	-	d	ă	false
-	-	d	ă	true
-	-	e	b	false
-	-	e	c	false
-	-	e	c	true
-	-	e	d	false
-	-	e	f	false
-	-	e	g	false
-	-	e	h	false
-	-	e	i	false
-	-	e	i	true
-	-	e	j	false
-	-	e	l	false
-	-	e	l	true
-	-	e	m	false
-	-	e	m	true
-	-	e	n	false
-	-	e	n	true
-	-	e	o	false
-	-	e	o	true
-	-	e	p	false
-	-	e	p	true
-	-	e	r	false
-	-	e	r	true
-	-	e	s	false
-	-	e	s	true
-	-	e	t	false
-	-	e	t	true
-	-	e	u	false
-	-	e	u	true
-	-	e	v	false
-	-	e	v	true
-	-	e	x	false
-	-	e	x	true
-	-	e	z	false
-	-	e	ș	false
-	-	f	a	false
-	-	f	a	true
-	-	f	e	false
-	-	f	e	true
-	-	f	i	false
-	-	f	i	true
-	-	f	l	false
-	-	f	o	false
-	-	f	o	true
-	-	f	r	false
-	-	f	t	false
-	-	f	u	false
-	-	f	u	true
-	-	f	â	false
-	-	f	â	true
-	-	f	ă	false
-	-	f	ă	true
-	-	g	a	false
-	-	g	a	true
-	-	g	e	false
-	-	g	e	true
-	-	g	h	false
-	-	g	i	false
-	-	g	i	true
-	-	g	l	false
-	-	g	n	false
-	-	g	o	false
-	-	g	o	true
-	-	g	r	false
-	-	g	u	false
-	-	g	u	true
-	-	g	â	false
-	-	g	â	true
-	-	g	ă	false
-	-	g	ă	true
-	-	h	a	false
-	-	h	a	true
-	-	h	e	false
-	-	h	e	true
-	-	h	i	false
-	-	h	i	true
-	-	h	l	false
-	-	h	o	false
-	-	h	o	true
-	-	h	r	false
-	-	h	t	false
-	-	h	u	false
-	-	h	u	true
-	-	h	â	false
-	-	h	â	true
-	-	h	ă	false
-	-	h	ă	true
-	-	i	a	false
-	-	i	a	true
-	-	i	b	false
-	-	i	b	true
-	-	i	c	false
-	-	i	c	true
-	-	i	d	false
-	-	i	e	false
-	-	i	e	true
-	-	i	f	false
-	-	i	g	false
-	-	i	g	true
-	-	i	h	false
-	-	i	h	true
-	-	i	i	false
-	-	i	i	true
-	-	i	j	false
-	-	i	j	true
-	-	i	k	false
-	-	i	l	false
-	-	i	l	true
-	-	i	m	false
-	-	i	m	true
-	-	i	n	false
-	-	i	n	true
-	-	i	o	false
-	-	i	o	true
-	-	i	p	false
-	-	i	p	true
-	-	i	r	false
-	-	i	r	true
-	-	i	s	false
-	-	i	s	true
-	-	i	t	false
-	-	i	u	false
-	-	i	u	true
-	-	i	v	false
-	-	i	z	false
-	-	i	z	true
-	-	i	ș	false
-	-	i	ș	true
-	-	i	ț	false
-	-	j	a	false
-	-	j	a	true
-	-	j	d	false
-	-	j	e	false
-	-	j	e	true
-	-	j	g	false
-	-	j	i	false
-	-	j	i	true
-	-	j	n	false
-	-	j	o	false
-	-	j	o	true
-	-	j	u	false
-	-	j	u	true
-	-	j	ă	false
-	-	j	ă	true
-	-	k	a	false
-	-	k	a	true
-	-	k	e	false
-	-	k	e	true
-	-	k	h	false
-	-	k	i	false
-	-	k	i	true
-	-	k	l	false
-	-	k	o	false
-	-	k	o	true
-	-	k	r	false
-	-	k	u	false
-	-	k	u	true
-	-	l	a	false
-	-	l	a	true
-	-	l	e	false
-	-	l	e	true
-	-	l	i	false
-	-	l	i	true
-	-	l	o	false
-	-	l	o	true
-	-	l	u	false
-	-	l	u	true
-	-	l	â	false
-	-	l	â	true
-	-	l	ă	false
-	-	l	ă	true
-	-	m	a	false
-	-	m	a	true
-	-	m	d	false
-	-	m	e	false
-	-	m	e	true
-	-	m	i	false
-	-	m	i	true
-	-	m	l	false
-	-	m	n	false
-	-	m	o	false
-	-	m	o	true
-	-	m	r	false
-	-	m	u	false
-	-	m	u	true
-	-	m	â	false
-	-	m	â	true
-	-	m	ă	false
-	-	m	ă	true
-	-	n	a	false
-	-	n	a	true
-	-	n	e	false
-	-	n	e	true
-	-	n	i	false
-	-	n	i	true
-	-	n	o	false
-	-	n	o	true
-	-	n	u	false
-	-	n	u	true
-	-	n	ă	false
-	-	n	ă	true
-	-	o	a	false
-	-	o	a	true
-	-	o	b	false
-	-	o	b	true
-	-	o	c	false
-	-	o	c	true
-	-	o	d	false
-	-	o	d	true
-	-	o	f	false
-	-	o	f	true
-	-	o	g	false
-	-	o	h	false
-	-	o	h	true
-	-	o	i	false
-	-	o	i	true
-	-	o	j	false
-	-	o	l	false
-	-	o	l	true
-	-	o	m	false
-	-	o	m	true
-	-	o	n	false
-	-	o	n	true
-	-	o	o	false
-	-	o	o	true
-	-	o	p	false
-	-	o	p	true
-	-	o	r	false
-	-	o	r	true
-	-	o	s	false
-	-	o	s	true
-	-	o	t	false
-	-	o	t	true
-	-	o	u	false
-	-	o	u	true
-	-	o	v	false
-	-	o	v	true
-	-	o	x	false
-	-	o	z	false
-	-	o	ș	false
-	-	o	ș	true
-	-	o	ț	false
-	-	p	a	false
-	-	p	a	true
-	-	p	e	false
-	-	p	e	true
-	-	p	f	false
-	-	p	h	false
-	-	p	i	false
-	-	p	i	true
-	-	p	l	false
-	-	p	n	false
-	-	p	o	false
-	-	p	o	true
-	-	p	r	false
-	-	p	r	true
-	-	p	s	false
-	-	p	t	false
-	-	p	u	false
-	-	p	u	true
-	-	p	â	false
-	-	p	â	true
-	-	p	ă	false
-	-	p	ă	true
-	-	q	u	false
-	-	q	u	true
-	-	r	a	false
-	-	r	a	true
-	-	r	e	false
-	-	r	e	true
-	-	r	h	false
-	-	r	i	false
-	-	r	i	true
-	-	r	o	false
-	-	r	o	true
-	-	r	u	false
-	-	r	u	true
-	-	r	â	false
-	-	r	â	true
-	-	r	ă	false
-	-	r	ă	true
-	-	s	a	false
-	-	s	a	true
-	-	s	b	false
-	-	s	c	false
-	-	s	e	false
-	-	s	e	true
-	-	s	f	false
-	-	s	g	false
-	-	s	h	false
-	-	s	i	false
-	-	s	i	true
-	-	s	k	false
-	-	s	l	false
-	-	s	m	false
-	-	s	n	false
-	-	s	o	false
-	-	s	o	true
-	-	s	p	false
-	-	s	s	false
-	-	s	t	false
-	-	s	u	false
-	-	s	u	true
-	-	s	v	false
-	-	s	w	false
-	-	s	â	false
-	-	s	â	true
-	-	s	ă	false
-	-	s	ă	true
-	-	t	a	false
-	-	t	a	true
-	-	t	b	false
